model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	hf-native	1	1692.78	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	2	376.35	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	3	305.56	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	4	278.73	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	5	1354.64	311	1503300328
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	1	25942.50	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	2	5120.90	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	3	6294.05	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	4	45398.03	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	5	5284.65	326	6150235008
Qwen/Qwen3-4B	safetensors	hf-native	1	7821.72	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	2	5288.17	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	3	6810.82	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	4	4533.86	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	5	9651.61	398	8044982000
Qwen/Qwen3-8B	safetensors	hf-native	1	12543.53	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	2	7940.95	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	3	11213.91	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	4	9705.17	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	5	8012.45	399	16381516776
Qwen/Qwen3-14B	safetensors	hf-native	1	21388.85	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	2	21068.64	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	3	132257.67	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	4	19943.03	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	5	14513.06	443	29536665640
Qwen/Qwen3-32B	safetensors	hf-native	1	37044.09	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	2	46381.38	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	3	43061.12	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	4	113944.27	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	5	47840.09	707	65524328560
