format	model	backend	iter1_ms	iter2_ms	iter3_ms	mean_ms	min_ms	max_ms	tensors	bytes
safetensors	qwen-qwen3-0.6b	sync	113.63	49.19	49.05	70.63	49.05	113.63	311	1503300328
safetensors	qwen-qwen3-0.6b	async	742.63	725.70	738.53	735.62	725.70	742.63	311	1503300328
safetensors	qwen-qwen3-0.6b	mmap	0.41	0.30	0.26	0.32	0.26	0.41	311	1503300328
safetensors	qwen-qwen3-0.6b	default	114.61	39.87	50.42	68.30	39.87	114.61	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	760.24	161.10	160.89	360.74	160.89	760.24	311	1503300328
safetensors	huggingfacetb-smollm3-3b	sync	1572.54	826.95	793.42	1064.30	793.42	1572.54	326	6150235008
safetensors	huggingfacetb-smollm3-3b	async	2472.57	2445.17	2388.61	2435.45	2388.61	2472.57	326	6150235008
safetensors	huggingfacetb-smollm3-3b	mmap	4.31	1.01	0.80	2.04	0.80	4.31	326	6150235008
safetensors	huggingfacetb-smollm3-3b	default	270.62	241.63	243.88	252.04	241.63	270.62	326	6150235008
safetensors	huggingfacetb-smollm3-3b	io-uring	3040.58	670.99	670.16	1460.58	670.16	3040.58	326	6150235008
safetensors	qwen-qwen3-4b	sync	1807.91	812.18	577.81	1065.97	577.81	1807.91	398	8044982000
safetensors	qwen-qwen3-4b	async	2072.75	1937.57	2051.70	2020.67	1937.57	2072.75	398	8044982000
safetensors	qwen-qwen3-4b	mmap	5.09	1.16	0.83	2.36	0.83	5.09	398	8044982000
safetensors	qwen-qwen3-4b	default	352.91	319.50	321.39	331.27	319.50	352.91	398	8044982000
safetensors	qwen-qwen3-4b	io-uring	3905.27	853.97	853.43	1870.89	853.43	3905.27	398	8044982000
safetensors	qwen-qwen3-8b	sync	3934.88	2002.46	1297.82	2411.72	1297.82	3934.88	399	16381516776
safetensors	qwen-qwen3-8b	async	2755.88	2689.70	2632.17	2692.58	2632.17	2755.88	399	16381516776
safetensors	qwen-qwen3-8b	mmap	4.85	3.14	0.72	2.91	0.72	4.85	399	16381516776
safetensors	qwen-qwen3-8b	default	2696.07	2645.09	2710.24	2683.80	2645.09	2710.24	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	8031.79	1753.22	1760.72	3848.57	1753.22	8031.79	399	16381516776
serverlessllm	qwen-qwen3-0.6b	sync	1124.06	1063.61	1063.83	1083.83	1063.61	1124.06	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	1262.21	1271.56	1281.01	1271.59	1262.21	1281.01	311	1503264768
serverlessllm	qwen-qwen3-0.6b	mmap	5.25	1.15	0.92	2.44	0.92	5.25	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	1343.36	1294.77	1297.94	1312.02	1294.77	1343.36	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	1810.74	1759.98	1772.87	1781.19	1759.98	1810.74	311	1503264768
serverlessllm	huggingfacetb-smollm3-3b	sync	3099.62	3189.14	2898.01	3062.25	2898.01	3189.14	326	6150197248
serverlessllm	huggingfacetb-smollm3-3b	async	4468.35	4457.80	4479.12	4468.42	4457.80	4479.12	326	6150197248
serverlessllm	huggingfacetb-smollm3-3b	mmap	5.41	1.38	1.15	2.64	1.15	5.41	326	6150197248
serverlessllm	huggingfacetb-smollm3-3b	default	4453.67	4471.02	4454.38	4459.69	4453.67	4471.02	326	6150197248
serverlessllm	huggingfacetb-smollm3-3b	io-uring	7288.90	7106.61	7109.86	7168.46	7106.61	7288.90	326	6150197248
serverlessllm	qwen-qwen3-4b	sync	3802.12	3202.06	3205.81	3403.33	3202.06	3802.12	398	8044936192
serverlessllm	qwen-qwen3-4b	async	5811.18	5784.18	5807.74	5801.03	5784.18	5811.18	398	8044936192
serverlessllm	qwen-qwen3-4b	mmap	5.98	1.73	1.72	3.14	1.72	5.98	398	8044936192
serverlessllm	qwen-qwen3-4b	default	5770.98	5746.20	5786.36	5767.84	5746.20	5786.36	398	8044936192
serverlessllm	qwen-qwen3-4b	io-uring	9546.78	9391.12	9413.31	9450.40	9391.12	9546.78	398	8044936192
serverlessllm	qwen-qwen3-8b	sync	7782.29	7232.22	6456.47	7157.00	6456.47	7782.29	399	16381470720
serverlessllm	qwen-qwen3-8b	async	11637.46	11682.89	11711.75	11677.37	11637.46	11711.75	399	16381470720
serverlessllm	qwen-qwen3-8b	mmap	6.28	1.80	1.69	3.26	1.69	6.28	399	16381470720
serverlessllm	qwen-qwen3-8b	default	11546.55	11636.55	11663.53	11615.54	11546.55	11663.53	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	19446.54	18907.10	18968.84	19107.49	18907.10	19446.54	399	16381470720
