model	format	backend	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	724.26	311	0
Qwen/Qwen3-0.6B	safetensors	async	1094.43	311	0
Qwen/Qwen3-0.6B	safetensors	default	965.95	311	0
Qwen/Qwen3-0.6B	serverlessllm	sync	2183.33	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	2250.91	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	1554.97	311	1503264768
Qwen/Qwen3-4B	safetensors	sync	7598.41	398	0
Qwen/Qwen3-4B	safetensors	async	3532.11	398	0
Qwen/Qwen3-4B	safetensors	default	7810.53	398	0
Qwen/Qwen3-4B	serverlessllm	sync	7551.79	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	4486.75	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	3523.25	398	8044936192
Qwen/Qwen3-8B	safetensors	sync	8412.36	399	0
Qwen/Qwen3-8B	safetensors	async	4235.21	399	0
Qwen/Qwen3-8B	safetensors	default	11896.57	399	0
Qwen/Qwen3-8B	serverlessllm	sync	14707.01	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	11528.26	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	11431.61	399	16381470720
Qwen/Qwen3-32B	safetensors	sync	46923.42	707	0
Qwen/Qwen3-32B	safetensors	async	60807.34	707	0
Qwen/Qwen3-32B	safetensors	default	43816.68	707	0
Qwen/Qwen3-32B	serverlessllm	sync	56025.98	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	40472.54	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	44854.6	707	65524246528
