model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	1	684.22	311	0
Qwen/Qwen3-0.6B	safetensors	sync	2	748.13	311	0
Qwen/Qwen3-0.6B	safetensors	sync	3	741.73	311	0
Qwen/Qwen3-0.6B	safetensors	sync	4	772.24	311	0
Qwen/Qwen3-0.6B	safetensors	sync	5	699.54	311	0
Qwen/Qwen3-0.6B	safetensors	async	1	1096.34	311	0
Qwen/Qwen3-0.6B	safetensors	async	2	1090.18	311	0
Qwen/Qwen3-0.6B	safetensors	async	3	1088.09	311	0
Qwen/Qwen3-0.6B	safetensors	async	4	1095.18	311	0
Qwen/Qwen3-0.6B	safetensors	async	5	970.28	311	0
Qwen/Qwen3-0.6B	safetensors	default	1	1004.81	311	0
Qwen/Qwen3-0.6B	safetensors	default	2	996.71	311	0
Qwen/Qwen3-0.6B	safetensors	default	3	1019.19	311	0
Qwen/Qwen3-0.6B	safetensors	default	4	1071.90	311	0
Qwen/Qwen3-0.6B	safetensors	default	5	950.93	311	0
Qwen/Qwen3-0.6B	serverlessllm	sync	1	2177.85	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	2	2184.81	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	3	2477.98	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	4	1920.68	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	5	2257.03	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	1	2080.61	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	2	1952.00	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	3	2016.92	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	4	2090.92	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	5	2374.69	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	1	1446.94	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	2	1526.67	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	3	1410.23	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	4	1630.97	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	5	1417.88	311	1503264768
Qwen/Qwen3-4B	safetensors	sync	1	8322.91	398	0
Qwen/Qwen3-4B	safetensors	sync	2	7052.36	398	0
Qwen/Qwen3-4B	safetensors	sync	3	7177.88	398	0
Qwen/Qwen3-4B	safetensors	sync	4	7665.90	398	0
Qwen/Qwen3-4B	safetensors	sync	5	7612.00	398	0
