model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	59585.89	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	52915.45	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	22.66	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	23.13	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	22.44	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	init_ms	58165.42	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_avg_ms	22.64	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_max_ms	23.04	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_min_ms	22.40	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	init_ms	53062.74	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	first_token_ms	18.85	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	init_ms	58784.51	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	ttft_ms	58803.36	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	first_token_ms	13.07	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	init_ms	52588.69	estimated
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	ttft_ms	52601.77	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	cold	init_ms	26630.74	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	warm	init_ms	23768.97	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_avg_ms	22.72	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_max_ms	22.98	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_min_ms	22.53	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	init_ms	26401.17	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_avg_ms	22.69	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_max_ms	22.94	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_min_ms	22.50	estimated
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	init_ms	23573.17	estimated
