model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-0.6B	native	load_only	cold	wall_ms	130748.55	OK
Qwen/Qwen3-0.6B	native	load_only	warm	wall_ms	290982.91	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	wall_ms	153540.69	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	wall_ms	129583.69	OK
Qwen/Qwen3-0.6B	native	ttft	cold	wall_ms	154927.67	OK
Qwen/Qwen3-0.6B	native	ttft	warm	wall_ms	131049.98	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	wall_ms	133771.26	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	wall_ms	128413.90	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	wall_ms	149162.46	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	wall_ms	126108.39	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	wall_ms	155589.60	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	wall_ms	131806.89	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	cold	wall_ms	129406.90	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	warm	wall_ms	129430.43	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	wall_ms	153150.74	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	wall_ms	131529.31	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	cold	wall_ms	164830.10	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	warm	wall_ms	150891.12	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	load_only	cold	wall_ms	148491.93	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	load_only	warm	wall_ms	142668.24	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	cold	wall_ms	164796.22	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	warm	wall_ms	130561.16	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	cold	wall_ms	159555.19	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	warm	wall_ms	256955.17	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	cold	wall_ms	154179.38	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	warm	wall_ms	131512.93	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	wall_ms	180144.32	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	wall_ms	133348.38	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	wall_ms	155414.70	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	wall_ms	151373.57	OK
Qwen/Qwen3-14B	native	load_only	cold	wall_ms	293923.70	OK
Qwen/Qwen3-14B	native	load_only	warm	wall_ms	431363.03	OK
Qwen/Qwen3-14B	native	steady_state_decode	cold	wall_ms	259694.01	OK
Qwen/Qwen3-14B	native	steady_state_decode	warm	wall_ms	318813.07	OK
Qwen/Qwen3-14B	native	ttft	cold	wall_ms	350189.00	OK
Qwen/Qwen3-14B	native	ttft	warm	wall_ms	360724.12	OK
Qwen/Qwen3-14B	ts_safetensors_default	load_only	cold	wall_ms	324407.92	OK
Qwen/Qwen3-14B	ts_safetensors_default	load_only	warm	wall_ms	319174.58	OK
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	cold	wall_ms	236956.05	OK
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	warm	wall_ms	295998.92	OK
Qwen/Qwen3-14B	ts_safetensors_default	ttft	cold	wall_ms	279002.23	OK
Qwen/Qwen3-14B	ts_safetensors_default	ttft	warm	wall_ms	342354.38	OK
