model	loader	kind	cache_mode	metric	rep	value	status
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	1	55115.95	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	2	60050.87	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	3	60659.04	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	4	64993.26	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	5	63811.31	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	1	54479.73	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	2	55693.23	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	3	53681.15	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	4	56268.62	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	5	50719.64	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	1	22.17	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	2	22.75	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	3	23.88	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	4	23.03	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	5	22.34	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	1	23.77	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	2	22.27	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	3	23.01	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	4	23.31	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	5	22.82	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	1	22.17	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	2	22.36	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	3	22.20	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	4	22.09	predicted
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	5	21.95	predicted
