==========================================================================================
RUST-LAYER COLD-CACHE PROFILES (ms)
==========================================================================================

--- SAFETENSORS ---
  Model                     Backend          H100       H200       A100
  ----------------------------------------------------------------------
  Qwen3-0.6B                sync            555.3      604.3      724.3
  Qwen3-0.6B                async          1416.2      852.2     1094.4
  Qwen3-0.6B                default         333.6      649.2      966.0
  Qwen3-0.6B                io-uring       1159.2    blocked    blocked

  SmolLM3-3B                sync           1331.8     2013.7        N/A
  SmolLM3-3B                async          5802.1     2938.3        N/A
  SmolLM3-3B                default        3722.3     2130.5        N/A
  SmolLM3-3B                io-uring       3812.3    blocked    blocked

  Qwen3-4B                  sync           1820.8      909.8     7598.4
  Qwen3-4B                  async          5039.2     2478.1     3532.1
  Qwen3-4B                  default        3083.2      941.2     7810.5
  Qwen3-4B                  io-uring       2967.4    blocked    blocked

  Qwen3-8B                  sync           3880.4     3924.7     8412.4
  Qwen3-8B                  async          7074.4     2977.6     4235.2
  Qwen3-8B                  default        3844.3     3213.0    11896.6
  Qwen3-8B                  io-uring       3172.4    blocked    blocked

  Qwen3-14B                 sync           7030.2    25872.0        N/A
  Qwen3-14B                 async         13489.0     4767.7        N/A
  Qwen3-14B                 default        6138.7     4906.1        N/A
  Qwen3-14B                 io-uring       5977.1    blocked    blocked

  Qwen3-32B                 sync          15454.5    36205.9    46923.4
  Qwen3-32B                 async         28763.5    10623.8    60807.3
  Qwen3-32B                 default       12119.5    12356.2    43816.7
  Qwen3-32B                 io-uring      12089.0    blocked    blocked


--- SERVERLESSLLM ---
  Model                     Backend          H100       H200       A100
  ----------------------------------------------------------------------
  Qwen3-0.6B                sync           1645.1     1565.3     2183.3
  Qwen3-0.6B                async          1471.3     1491.4     2250.9
  Qwen3-0.6B                default        1432.2     1586.8     1555.0
  Qwen3-0.6B                io-uring       1387.6    blocked    blocked

  SmolLM3-3B                sync           3941.9     3945.7        N/A
  SmolLM3-3B                async          2391.2     1947.4        N/A
  SmolLM3-3B                default        3182.3     1987.1        N/A
  SmolLM3-3B                io-uring       3091.5    blocked    blocked

  Qwen3-4B                  sync           5137.7     5100.2     7551.8
  Qwen3-4B                  async          3504.2     2489.3     4486.8
  Qwen3-4B                  default        3551.8     2809.8     3523.2
  Qwen3-4B                  io-uring       3727.1    blocked    blocked

  Qwen3-8B                  sync          11048.4    10788.9    14707.0
  Qwen3-8B                  async          9463.4     6045.5    11528.3
  Qwen3-8B                  default        7589.5     6098.1    11431.6
  Qwen3-8B                  io-uring       9043.5    blocked    blocked

  Qwen3-14B                 sync          18661.2    17765.3        N/A
  Qwen3-14B                 async         16139.1    14450.4        N/A
  Qwen3-14B                 default       13422.9    15453.5        N/A
  Qwen3-14B                 io-uring      13257.2    blocked    blocked

  Qwen3-32B                 sync          39822.1    39061.6    56026.0
  Qwen3-32B                 async         29180.9    27367.7    40472.5
  Qwen3-32B                 default       27659.8    24259.2    44854.6
  Qwen3-32B                 io-uring      29779.9    blocked    blocked


==========================================================================================
vLLM BENCHMARKS (Tensora loaders, no native)
H100: actual init_ms/ttft_ms/decode_avg_ms from vllm_runner
A100: wall_ms from pytest subprocess (includes overhead)
==========================================================================================

--- LOAD_ONLY (H100: init_ms, A100: wall_ms) ---

  [WARM]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default              18274.3       128413.9
  Qwen3-0.6B      ts_safetensors_sync                 18223.3       129430.4
  Qwen3-0.6B      ts_safetensors_io_uring             18929.9            N/A
  Qwen3-0.6B      ts_serverlessllm_default            21034.7       142668.2
  Qwen3-0.6B      ts_serverlessllm_sync               20358.6       131512.9
  Qwen3-0.6B      ts_serverlessllm_io_uring           19671.0            N/A

  SmolLM3-3B      ts_safetensors_default              24960.5            N/A
  SmolLM3-3B      ts_safetensors_sync                 24689.8            N/A
  SmolLM3-3B      ts_safetensors_io_uring             26999.1            N/A
  SmolLM3-3B      ts_serverlessllm_default            33914.5            N/A
  SmolLM3-3B      ts_serverlessllm_sync               29259.6            N/A
  SmolLM3-3B      ts_serverlessllm_io_uring           27783.6            N/A

  Qwen3-4B        ts_safetensors_default              25384.9       164959.0
  Qwen3-4B        ts_safetensors_sync                 25156.3       163397.8
  Qwen3-4B        ts_safetensors_io_uring             26666.0            N/A
  Qwen3-4B        ts_serverlessllm_default            37335.6       203964.5
  Qwen3-4B        ts_serverlessllm_sync               30389.1       164869.2
  Qwen3-4B        ts_serverlessllm_io_uring           28957.3            N/A

  Qwen3-8B        ts_safetensors_default              32304.6       176688.5
  Qwen3-8B        ts_safetensors_sync                 30922.8       169759.0
  Qwen3-8B        ts_safetensors_io_uring             32129.6            N/A
  Qwen3-8B        ts_serverlessllm_default            57359.9       233358.8
  Qwen3-8B        ts_serverlessllm_sync               42107.2       173451.1
  Qwen3-8B        ts_serverlessllm_io_uring           38503.1            N/A

  Qwen3-14B       ts_safetensors_default              42912.4       319174.6
  Qwen3-14B       ts_safetensors_sync                 41651.2       276678.4
  Qwen3-14B       ts_safetensors_io_uring             42870.9       306113.5
  Qwen3-14B       ts_serverlessllm_default            58592.1       458940.5
  Qwen3-14B       ts_serverlessllm_sync               60536.2       302983.9
  Qwen3-14B       ts_serverlessllm_io_uring           54620.4       322845.3

  Qwen3-32B       ts_safetensors_default              84905.3       535950.0
  Qwen3-32B       ts_safetensors_sync                 80687.2       543087.3
  Qwen3-32B       ts_safetensors_io_uring             84329.7            N/A
  Qwen3-32B       ts_serverlessllm_default           114858.7      1077398.4
  Qwen3-32B       ts_serverlessllm_sync              121691.8       609782.8
  Qwen3-32B       ts_serverlessllm_io_uring          106818.5            N/A


  [COLD]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default              20577.9       133771.3
  Qwen3-0.6B      ts_safetensors_sync                 20417.4       129406.9
  Qwen3-0.6B      ts_safetensors_io_uring             20867.1            N/A
  Qwen3-0.6B      ts_serverlessllm_default            21649.2       148491.9
  Qwen3-0.6B      ts_serverlessllm_sync               21191.1       154179.4
  Qwen3-0.6B      ts_serverlessllm_io_uring           21262.0            N/A

  SmolLM3-3B      ts_safetensors_default              27334.0            N/A
  SmolLM3-3B      ts_safetensors_sync                 27767.3            N/A
  SmolLM3-3B      ts_safetensors_io_uring             29992.7            N/A
  SmolLM3-3B      ts_serverlessllm_default            29364.7            N/A
  SmolLM3-3B      ts_serverlessllm_sync               30870.2            N/A
  SmolLM3-3B      ts_serverlessllm_io_uring           30287.2            N/A

