format	model	backend	iter1_ms	mean_ms	min_ms	max_ms	tensors	bytes	status
safetensors	qwen-qwen3-0.6b	sync	555.28	555.28	555.28	555.28	311	1503300328	OK
safetensors	qwen-qwen3-0.6b	async	1416.19	1416.19	1416.19	1416.19	311	1503300328	OK
safetensors	qwen-qwen3-0.6b	default	333.59	333.59	333.59	333.59	311	1503300328	OK
safetensors	qwen-qwen3-0.6b	io-uring	1159.24	1159.24	1159.24	1159.24	311	1503300328	OK
safetensors	huggingfacetb-smollm3-3b	sync	1331.79	1331.79	1331.79	1331.79	326	6150235008	OK
safetensors	huggingfacetb-smollm3-3b	async	5802.05	5802.05	5802.05	5802.05	326	6150235008	OK
safetensors	huggingfacetb-smollm3-3b	default	3722.35	3722.35	3722.35	3722.35	326	6150235008	OK
safetensors	huggingfacetb-smollm3-3b	io-uring	3812.35	3812.35	3812.35	3812.35	326	6150235008	OK
safetensors	qwen-qwen3-4b	sync	1820.85	1820.85	1820.85	1820.85	398	8044982000	OK
safetensors	qwen-qwen3-4b	async	5039.21	5039.21	5039.21	5039.21	398	8044982000	OK
safetensors	qwen-qwen3-4b	default	3083.18	3083.18	3083.18	3083.18	398	8044982000	OK
safetensors	qwen-qwen3-4b	io-uring	2967.42	2967.42	2967.42	2967.42	398	8044982000	OK
safetensors	qwen-qwen3-8b	sync	3880.40	3880.40	3880.40	3880.40	399	16381516776	OK
safetensors	qwen-qwen3-8b	async	7074.40	7074.40	7074.40	7074.40	399	16381516776	OK
safetensors	qwen-qwen3-8b	default	3844.35	3844.35	3844.35	3844.35	399	16381516776	OK
safetensors	qwen-qwen3-8b	io-uring	3172.37	3172.37	3172.37	3172.37	399	16381516776	OK
safetensors	qwen-qwen3-14b	sync	7030.25	7030.25	7030.25	7030.25	443	29536665640	OK
safetensors	qwen-qwen3-14b	async	13489.00	13489.00	13489.00	13489.00	443	29536665640	OK
safetensors	qwen-qwen3-14b	default	6138.70	6138.70	6138.70	6138.70	443	29536665640	OK
safetensors	qwen-qwen3-14b	io-uring	5977.07	5977.07	5977.07	5977.07	443	29536665640	OK
safetensors	qwen-qwen3-32b	sync	15454.45	15454.45	15454.45	15454.45	707	65524328560	OK
safetensors	qwen-qwen3-32b	async	28763.46	28763.46	28763.46	28763.46	707	65524328560	OK
safetensors	qwen-qwen3-32b	default	12119.50	12119.50	12119.50	12119.50	707	65524328560	OK
safetensors	qwen-qwen3-32b	io-uring	12089.05	12089.05	12089.05	12089.05	707	65524328560	OK
serverlessllm	qwen-qwen3-0.6b	sync	1645.06	1645.06	1645.06	1645.06	311	1503264768	OK
serverlessllm	qwen-qwen3-0.6b	async	1471.34	1471.34	1471.34	1471.34	311	1503264768	OK
serverlessllm	qwen-qwen3-0.6b	default	1432.25	1432.25	1432.25	1432.25	311	1503264768	OK
serverlessllm	qwen-qwen3-0.6b	io-uring	1387.57	1387.57	1387.57	1387.57	311	1503264768	OK
serverlessllm	huggingfacetb-smollm3-3b	sync	3941.88	3941.88	3941.88	3941.88	326	6150197248	OK
serverlessllm	huggingfacetb-smollm3-3b	async	2391.24	2391.24	2391.24	2391.24	326	6150197248	OK
serverlessllm	huggingfacetb-smollm3-3b	default	3182.28	3182.28	3182.28	3182.28	326	6150197248	OK
serverlessllm	huggingfacetb-smollm3-3b	io-uring	3091.49	3091.49	3091.49	3091.49	326	6150197248	OK
serverlessllm	qwen-qwen3-4b	sync	5137.72	5137.72	5137.72	5137.72	398	8044936192	OK
serverlessllm	qwen-qwen3-4b	async	3504.25	3504.25	3504.25	3504.25	398	8044936192	OK
serverlessllm	qwen-qwen3-4b	default	3551.82	3551.82	3551.82	3551.82	398	8044936192	OK
serverlessllm	qwen-qwen3-4b	io-uring	3727.14	3727.14	3727.14	3727.14	398	8044936192	OK
serverlessllm	qwen-qwen3-8b	sync	11048.40	11048.40	11048.40	11048.40	399	16381470720	OK
serverlessllm	qwen-qwen3-8b	async	9463.37	9463.37	9463.37	9463.37	399	16381470720	OK
serverlessllm	qwen-qwen3-8b	default	7589.47	7589.47	7589.47	7589.47	399	16381470720	OK
serverlessllm	qwen-qwen3-8b	io-uring	9043.51	9043.51	9043.51	9043.51	399	16381470720	OK
serverlessllm	qwen-qwen3-14b	sync	18661.25	18661.25	18661.25	18661.25	443	29536614400	OK
serverlessllm	qwen-qwen3-14b	async	16139.08	16139.08	16139.08	16139.08	443	29536614400	OK
serverlessllm	qwen-qwen3-14b	default	13422.94	13422.94	13422.94	13422.94	443	29536614400	OK
serverlessllm	qwen-qwen3-14b	io-uring	13257.23	13257.23	13257.23	13257.23	443	29536614400	OK
serverlessllm	qwen-qwen3-32b	sync	39822.09	39822.09	39822.09	39822.09	707	65524246528	OK
serverlessllm	qwen-qwen3-32b	async	29180.89	29180.89	29180.89	29180.89	707	65524246528	OK
serverlessllm	qwen-qwen3-32b	default	27659.78	27659.78	27659.78	27659.78	707	65524246528	OK
serverlessllm	qwen-qwen3-32b	io-uring	29779.86	29779.86	29779.86	29779.86	707	65524246528	OK
