model	format	backend	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	555.28	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	1416.19	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	333.59	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	1159.24	311	1503300328
HuggingFaceTB/SmolLM3-3B	safetensors	sync	1331.79	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	5802.05	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	3722.35	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	3812.35	326	6150235008
Qwen/Qwen3-4B	safetensors	sync	1820.85	398	8044982000
Qwen/Qwen3-4B	safetensors	async	5039.21	398	8044982000
Qwen/Qwen3-4B	safetensors	default	3083.18	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	2967.42	398	8044982000
Qwen/Qwen3-8B	safetensors	sync	3880.40	399	16381516776
Qwen/Qwen3-8B	safetensors	async	7074.40	399	16381516776
Qwen/Qwen3-8B	safetensors	default	3844.35	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	3172.37	399	16381516776
Qwen/Qwen3-14B	safetensors	sync	7030.25	443	29536665640
Qwen/Qwen3-14B	safetensors	async	13489.00	443	29536665640
Qwen/Qwen3-14B	safetensors	default	6138.70	443	29536665640
Qwen/Qwen3-14B	safetensors	io-uring	5977.07	443	29536665640
Qwen/Qwen3-32B	safetensors	sync	15454.45	707	65524328560
Qwen/Qwen3-32B	safetensors	async	28763.46	707	65524328560
Qwen/Qwen3-32B	safetensors	default	12119.50	707	65524328560
Qwen/Qwen3-32B	safetensors	io-uring	12089.05	707	65524328560
Qwen/Qwen3-0.6B	serverlessllm	sync	1645.06	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	1471.34	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	1432.25	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	io-uring	1387.57	311	1503264768
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	3941.88	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	2391.24	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	3182.28	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	io-uring	3091.49	326	6150197248
Qwen/Qwen3-4B	serverlessllm	sync	5137.72	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	3504.25	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	3551.82	398	8044936192
Qwen/Qwen3-4B	serverlessllm	io-uring	3727.14	398	8044936192
Qwen/Qwen3-8B	serverlessllm	sync	11048.40	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	9463.37	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	7589.47	399	16381470720
Qwen/Qwen3-8B	serverlessllm	io-uring	9043.51	399	16381470720
Qwen/Qwen3-14B	serverlessllm	sync	18661.25	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	16139.08	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	13422.94	443	29536614400
Qwen/Qwen3-14B	serverlessllm	io-uring	13257.23	443	29536614400
Qwen/Qwen3-32B	serverlessllm	sync	39822.09	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	29180.89	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	27659.78	707	65524246528
Qwen/Qwen3-32B	serverlessllm	io-uring	29779.86	707	65524246528
