format	model	backend	iter1_ms	mean_ms	min_ms	max_ms	tensors	bytes
safetensors	qwen-qwen3-0.6b	sync	344.47	344.47	344.47	344.47	311	1503300328
safetensors	qwen-qwen3-0.6b	async	1775.11	1775.11	1775.11	1775.11	311	1503300328
safetensors	qwen-qwen3-0.6b	default	446.50	446.50	446.50	446.50	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	1187.32	1187.32	1187.32	1187.32	311	1503300328
safetensors	huggingfacetb-smollm3-3b	sync	1323.61	1323.61	1323.61	1323.61	326	6150235008
safetensors	huggingfacetb-smollm3-3b	async	5834.95	5834.95	5834.95	5834.95	326	6150235008
safetensors	huggingfacetb-smollm3-3b	default	1316.74	1316.74	1316.74	1316.74	326	6150235008
safetensors	huggingfacetb-smollm3-3b	io-uring	4509.73	4509.73	4509.73	4509.73	326	6150235008
safetensors	qwen-qwen3-4b	sync	1695.28	1695.28	1695.28	1695.28	398	8044982000
safetensors	qwen-qwen3-4b	async	4953.87	4953.87	4953.87	4953.87	398	8044982000
safetensors	qwen-qwen3-4b	default	1693.33	1693.33	1693.33	1693.33	398	8044982000
safetensors	qwen-qwen3-4b	io-uring	5889.58	5889.58	5889.58	5889.58	398	8044982000
safetensors	qwen-qwen3-8b	sync	3688.80	3688.80	3688.80	3688.80	399	16381516776
safetensors	qwen-qwen3-8b	async	6608.91	6608.91	6608.91	6608.91	399	16381516776
safetensors	qwen-qwen3-8b	default	3756.82	3756.82	3756.82	3756.82	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	11866.28	11866.28	11866.28	11866.28	399	16381516776
safetensors	qwen-qwen3-14b	sync	6903.38	6903.38	6903.38	6903.38	443	29536665640
safetensors	qwen-qwen3-14b	async	10481.13	10481.13	10481.13	10481.13	443	29536665640
safetensors	qwen-qwen3-14b	default	7001.00	7001.00	7001.00	7001.00	443	29536665640
safetensors	qwen-qwen3-14b	io-uring	21558.90	21558.90	21558.90	21558.90	443	29536665640
safetensors	qwen-qwen3-32b	sync	15553.70	15553.70	15553.70	15553.70	707	65524328560
safetensors	qwen-qwen3-32b	async	27854.17	27854.17	27854.17	27854.17	707	65524328560
safetensors	qwen-qwen3-32b	default	15487.83	15487.83	15487.83	15487.83	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	47025.56	47025.56	47025.56	47025.56	707	65524328560
