model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	56874.155567999995	OK
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	18877.98201299995	OK
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	10.184310999989066	OK
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	18888.16632399994	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	18703.87353700005	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	17.54244999997354	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	17.444938999915394	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_max_ms	17.681566999954157	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	warm	init_ms	18274.305552999976	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	init_ms	18161.459981999997	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	first_token_ms	10.056702000042606	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	warm	ttft_ms	18171.51668400004	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	init_ms	18325.17219299996	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_avg_ms	17.41552920002505	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_min_ms	17.229584999995495	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	warm	decode_max_ms	17.721033000043462	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	warm	init_ms	18223.336478999954	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	warm	init_ms	18219.056799999977	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	warm	first_token_ms	9.964936000073976	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	warm	ttft_ms	18229.02173600005	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	init_ms	18073.217083000032	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_avg_ms	17.452078000019355	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_min_ms	17.30964600005791	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	warm	decode_max_ms	17.644330000052832	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	load_only	warm	init_ms	18929.91707500005	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	warm	init_ms	18974.389371999903	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	warm	first_token_ms	10.021563999998762	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	warm	ttft_ms	18984.410935999902	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	warm	init_ms	18834.083964	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	warm	decode_avg_ms	17.45393060002698	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	warm	decode_min_ms	17.343349000043418	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	warm	decode_max_ms	17.622775000063484	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	load_only	warm	init_ms	21034.677910000028	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	warm	init_ms	19319.436794000012	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	warm	first_token_ms	10.022869999943396	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	warm	ttft_ms	19329.459663999955	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	warm	init_ms	19527.960437000045	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	warm	decode_avg_ms	17.43236520001119	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	warm	decode_min_ms	17.288661000065986	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	warm	decode_max_ms	17.827929999953085	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	warm	init_ms	20358.614659999945	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	init_ms	20697.560906000035	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	first_token_ms	10.08819800006222	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	ttft_ms	20707.6491040001	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	init_ms	20256.92389900007	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_avg_ms	17.352714200001174	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_min_ms	17.146626999988257	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_max_ms	17.56965999993554	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	load_only	warm	init_ms	19670.997565000107	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	warm	init_ms	19386.362522000127	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	warm	first_token_ms	9.972491999860722	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	warm	ttft_ms	19396.33501399999	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	init_ms	19503.952939999865	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_avg_ms	17.342846400015333	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_min_ms	17.201011999986804	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_max_ms	17.537784999831274	OK
Qwen/Qwen3-0.6B	native	load_only	cold	init_ms	23659.497558999872	OK
Qwen/Qwen3-0.6B	native	ttft	cold	init_ms	22438.009699000075	OK
Qwen/Qwen3-0.6B	native	ttft	cold	first_token_ms	15.948610000123153	OK
Qwen/Qwen3-0.6B	native	ttft	cold	ttft_ms	22453.958309000198	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	init_ms	22369.82467199982	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_avg_ms	17.211605399961627	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_min_ms	17.086300000073606	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_max_ms	17.53440499987846	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	20577.936732999886	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	init_ms	20301.180081999973	OK
