model	loader	kind	cache_mode	metric	rep	value	status
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	1	71106.10	predicted
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	2	26281.78	predicted
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	3	59189.50	predicted
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	4	58743.44	predicted
Qwen/Qwen3-0.6B	native	load_only	warm	init_ms	5	49426.76	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	1	24903.92	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	2	23081.56	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	3	17747.09	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	4	18502.56	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	init_ms	5	17197.72	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	1	10.08	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	2	9.92	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	3	10.47	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	4	10.39	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	first_token_ms	5	10.35	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	1	18474.77	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	2	19674.23	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	3	19636.20	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	4	18959.21	predicted
Qwen/Qwen3-0.6B	native	ttft	warm	ttft_ms	5	18546.58	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	1	14986.57	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	2	20499.60	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	3	14786.71	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	4	18557.10	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	init_ms	5	23374.55	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	1	17.01	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	2	18.25	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	3	18.09	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	4	17.11	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_avg_ms	5	17.05	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	1	17.35	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	2	17.09	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	3	17.35	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	4	16.54	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_min_ms	5	17.37	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_max_ms	1	18.32	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_max_ms	2	17.29	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_max_ms	3	17.59	predicted
Qwen/Qwen3-0.6B	native	steady_state_decode	warm	decode_max_ms	4	17.15	predicted
