model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	1	309.93	311	0
Qwen/Qwen3-0.6B	safetensors	sync	2	128.00	311	0
Qwen/Qwen3-0.6B	safetensors	sync	3	91.41	311	0
Qwen/Qwen3-0.6B	safetensors	sync	4	114.90	311	0
Qwen/Qwen3-0.6B	safetensors	sync	5	95.51	311	0
Qwen/Qwen3-0.6B	safetensors	async	1	821.90	311	0
Qwen/Qwen3-0.6B	safetensors	async	2	823.99	311	0
Qwen/Qwen3-0.6B	safetensors	async	3	785.62	311	0
Qwen/Qwen3-0.6B	safetensors	async	4	799.25	311	0
Qwen/Qwen3-0.6B	safetensors	async	5	792.83	311	0
Qwen/Qwen3-0.6B	safetensors	io-uring	1			
Qwen/Qwen3-0.6B	safetensors	io-uring	2			
Qwen/Qwen3-0.6B	safetensors	io-uring	3			
Qwen/Qwen3-0.6B	safetensors	io-uring	4			
Qwen/Qwen3-0.6B	safetensors	io-uring	5			
Qwen/Qwen3-0.6B	safetensors	default	1	105.53	311	0
Qwen/Qwen3-0.6B	safetensors	default	2	104.14	311	0
Qwen/Qwen3-0.6B	safetensors	default	3	97.68	311	0
Qwen/Qwen3-0.6B	safetensors	default	4	111.30	311	0
Qwen/Qwen3-0.6B	safetensors	default	5	105.24	311	0
Qwen/Qwen3-0.6B	serverlessllm	sync	1	1536.42	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	2	1437.25	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	3	1380.07	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	4	1267.33	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	5	1286.39	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	1	1447.32	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	2	1034.08	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	3	1017.62	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	4	932.25	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	5	1022.88	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	io-uring	1			
Qwen/Qwen3-0.6B	serverlessllm	io-uring	2			
Qwen/Qwen3-0.6B	serverlessllm	io-uring	3			
Qwen/Qwen3-0.6B	serverlessllm	io-uring	4			
Qwen/Qwen3-0.6B	serverlessllm	io-uring	5			
Qwen/Qwen3-0.6B	serverlessllm	default	1			
Qwen/Qwen3-0.6B	serverlessllm	default	2			
Qwen/Qwen3-0.6B	serverlessllm	default	3			
Qwen/Qwen3-0.6B	serverlessllm	default	4			
Qwen/Qwen3-0.6B	serverlessllm	default	5			
