model	format	backend	time_ms	tensors	bytes	error
Qwen/Qwen3-0.6B	safetensors	default	649.23	311	0	
Qwen/Qwen3-0.6B	serverlessllm	default	1586.84	311	1503264768	
HuggingFaceTB/SmolLM3-3B	safetensors	default	2130.51	326	0	
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	1987.07	326	6150197248	
Qwen/Qwen3-4B	safetensors	default	2718.64	398	0	
Qwen/Qwen3-4B	serverlessllm	default	2809.79	398	8044936192	
Qwen/Qwen3-8B	safetensors	default	8687.38	399	0	
Qwen/Qwen3-8B	serverlessllm	default	6098.06	399	16381470720	
Qwen/Qwen3-14B	safetensors	default	14868.39	443	0	
Qwen/Qwen3-14B	serverlessllm	default	15453.47	443	29536614400	
Qwen/Qwen3-32B	safetensors	default	35821.05	707	0	
Qwen/Qwen3-32B	serverlessllm	default	24259.15	707	65524246528	
