model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	1	723.99	311	0
Qwen/Qwen3-0.6B	safetensors	sync	2	713.37	311	0
Qwen/Qwen3-0.6B	safetensors	sync	3	686.20	311	0
Qwen/Qwen3-0.6B	safetensors	sync	4	715.85	311	0
Qwen/Qwen3-0.6B	safetensors	sync	5	674.62	311	0
Qwen/Qwen3-0.6B	safetensors	async	1	634.99	311	0
Qwen/Qwen3-0.6B	safetensors	async	2	558.02	311	0
Qwen/Qwen3-0.6B	safetensors	async	3	580.95	311	0
Qwen/Qwen3-0.6B	safetensors	async	4	517.70	311	0
Qwen/Qwen3-0.6B	safetensors	async	5	531.57	311	0
Qwen/Qwen3-0.6B	safetensors	default	1	715.79	311	0
Qwen/Qwen3-0.6B	safetensors	default	2	688.52	311	0
Qwen/Qwen3-0.6B	safetensors	default	3	634.74	311	0
Qwen/Qwen3-0.6B	safetensors	default	4	603.51	311	0
Qwen/Qwen3-0.6B	safetensors	default	5	650.36	311	0
Qwen/Qwen3-0.6B	serverlessllm	sync	1	1402.29	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	2	1254.65	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	3	1067.68	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	4	1302.81	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	sync	5	1336.61	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	1	1170.86	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	2	1205.53	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	3	1173.28	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	4	1117.88	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	async	5	1119.76	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	1	1222.73	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	2	1213.53	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	3	1146.82	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	4	1134.59	311	1503264768
Qwen/Qwen3-0.6B	serverlessllm	default	5	1195.77	311	1503264768
HuggingFaceTB/SmolLM3-3B	safetensors	sync	1	2602.18	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	sync	2	2725.03	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	sync	3	2831.67	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	sync	4	2334.71	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	sync	5	1646.76	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	async	1	2402.27	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	async	2	2119.90	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	async	3	2339.40	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	async	4	2316.90	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	async	5	2546.83	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	default	1	2122.00	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	default	2	2278.71	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	default	3	2312.65	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	default	4	2473.17	326	0
HuggingFaceTB/SmolLM3-3B	safetensors	default	5	3588.31	326	0
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	1	4740.89	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	2	4758.28	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	3	5221.45	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	4	4271.54	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	sync	5	4695.13	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	1	4569.33	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	2	4586.99	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	3	4683.54	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	4	4514.97	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	async	5	4262.51	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	1	4571.77	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	2	4694.70	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	3	4397.63	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	4	4907.48	326	6150197248
HuggingFaceTB/SmolLM3-3B	serverlessllm	default	5	4672.78	326	6150197248
Qwen/Qwen3-4B	safetensors	sync	1	3210.17	398	0
Qwen/Qwen3-4B	safetensors	sync	2	3169.46	398	0
Qwen/Qwen3-4B	safetensors	sync	3	3231.69	398	0
Qwen/Qwen3-4B	safetensors	sync	4	1813.46	398	0
Qwen/Qwen3-4B	safetensors	sync	5	3182.34	398	0
Qwen/Qwen3-4B	safetensors	async	1	3130.70	398	0
Qwen/Qwen3-4B	safetensors	async	2	2764.37	398	0
Qwen/Qwen3-4B	safetensors	async	3	2908.27	398	0
Qwen/Qwen3-4B	safetensors	async	4	3114.24	398	0
Qwen/Qwen3-4B	safetensors	async	5	2860.31	398	0
Qwen/Qwen3-4B	safetensors	default	1	2563.63	398	0
Qwen/Qwen3-4B	safetensors	default	2	2750.71	398	0
Qwen/Qwen3-4B	safetensors	default	3	2838.13	398	0
Qwen/Qwen3-4B	safetensors	default	4	2887.68	398	0
Qwen/Qwen3-4B	safetensors	default	5	2950.90	398	0
Qwen/Qwen3-4B	serverlessllm	sync	1	6412.08	398	8044936192
Qwen/Qwen3-4B	serverlessllm	sync	2	7079.36	398	8044936192
Qwen/Qwen3-4B	serverlessllm	sync	3	5137.53	398	8044936192
Qwen/Qwen3-4B	serverlessllm	sync	4	6563.05	398	8044936192
Qwen/Qwen3-4B	serverlessllm	sync	5	6902.64	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	1	7058.44	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	2	5493.80	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	3	6091.55	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	4	6676.68	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	5	6232.86	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	1	6694.13	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	2	6178.63	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	3	4687.71	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	4	6199.62	398	8044936192
