model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	hf-native	1	13298.18	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	2	1431.30	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	3	1656.15	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	4	14075.08	311	1503300328
Qwen/Qwen3-0.6B	safetensors	hf-native	5	7707.21	311	1503300328
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	1	6742.59	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	2	5207.26	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	3	9683.56	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	4	5747.95	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	hf-native	5	11251.17	326	6150235008
Qwen/Qwen3-4B	safetensors	hf-native	1	5054.10	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	2	6825.28	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	3	4821.27	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	4	6039.70	398	8044982000
Qwen/Qwen3-4B	safetensors	hf-native	5	36764.83	398	8044982000
Qwen/Qwen3-8B	safetensors	hf-native	1	9600.69	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	2	10233.10	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	3	9646.77	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	4	9001.93	399	16381516776
Qwen/Qwen3-8B	safetensors	hf-native	5	9316.91	399	16381516776
Qwen/Qwen3-14B	safetensors	hf-native	1	27024.21	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	2	ERROR	0	0	Error: ProfileError("Hugging Face Hub: request error: https://huggingface.co/api/models/Qwen/Qwen3-14B/revision/main: Connection Failed: native_tls connect failed: Connection reset by peer (os error 104)")
Qwen/Qwen3-14B	safetensors	hf-native	3	44560.74	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	4	33016.35	443	29536665640
Qwen/Qwen3-14B	safetensors	hf-native	5	40029.07	443	29536665640
Qwen/Qwen3-32B	safetensors	hf-native	1	38246.62	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	2	47373.25	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	3	30699.96	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	4	36419.72	707	65524328560
Qwen/Qwen3-32B	safetensors	hf-native	5	39153.80	707	65524328560
