model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-14B	safetensors	sync	1	7556.37	443	0
Qwen/Qwen3-14B	safetensors	sync	2	19466.46	443	0
Qwen/Qwen3-14B	safetensors	sync	3	11434.97	443	0
Qwen/Qwen3-14B	safetensors	sync	4	12067.93	443	0
Qwen/Qwen3-14B	safetensors	sync	5	6643.89	443	0
Qwen/Qwen3-14B	safetensors	default	1	7704.30	443	0
Qwen/Qwen3-14B	safetensors	default	2	20000.72	443	0
Qwen/Qwen3-14B	safetensors	default	3	4538.99	443	0
Qwen/Qwen3-14B	safetensors	default	4	9386.28	443	0
Qwen/Qwen3-14B	safetensors	default	5	28174.22	443	0
Qwen/Qwen3-14B	serverlessllm	sync	1	32174.47	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	2	23789.55	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	3	28674.46	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	4	36122.06	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	5	94806.95	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	1	22238.23	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	2	22912.47	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	3	35034.98	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	4	21764.31	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	5	29409.94	443	29536614400
Qwen/Qwen3-4B	serverlessllm	async	1	6309.33	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	2	3612.08	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	3	3615.72	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	4	6252.27	398	8044936192
Qwen/Qwen3-4B	serverlessllm	async	5	6052.81	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	1	8438.38	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	2	3587.39	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	3	12369.49	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	4	12955.42	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	5	5866.79	398	8044936192
