model	loader	benchmark_kind	rep	init_ms	ttft_ms	first_token_ms	decode_avg_ms	decode_min_ms	decode_max_ms
Qwen/Qwen3-0.6B	native	load_only	1	37978.39	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	native	load_only	2	38154.22	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	native	load_only	3	39632.60	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	native	load_only	4	45131.39	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	native	load_only	5	61220.58	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	1	54400.80	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	2	43978.28	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	3	40531.91	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	4	40550.31	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	5	12572.96	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_async	load_only	1	12105.53	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_async	load_only	2	133523.21	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_async	load_only	3	11828.17	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_async	load_only	4	11781.62	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_safetensors_async	load_only	5	11501.84	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	1	14716.63	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	2	12913.09	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	3	16350.51	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	4	13601.60	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	5	12492.50	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_async	load_only	1	13436.02	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_async	load_only	2	13076.10	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_async	load_only	3	14505.79	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_async	load_only	4	14431.26	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-0.6B	ts_serverlessllm_async	load_only	5	12826.27	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	native	load_only	1	16718.22	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	native	load_only	2	21026.16	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	native	load_only	3	18306.78	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	native	load_only	4	16167.87	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	native	load_only	5	16578.49	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	1	19304.96	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	2	21946.32	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	3	24061.36	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	4	20574.10	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	5	16510.97	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_async	load_only	1	16741.08	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_async	load_only	2	24192.26	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_async	load_only	3	18530.74	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_async	load_only	4	17211.36	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-4B	ts_safetensors_async	load_only	5	16324.78	0.00	0.00	0.00	0.00	0.00
